Collection ID,Genus,Species,GenusSpecies,Latitude,Longitude,Elevation (m)
SC15-C-01-2-10,Naesiotus,akamatus,Naesiotus akamatus,-0.690075466,-90.44578481,144.0822754
SC15-C-01-2-11,Naesiotus,akamatus,Naesiotus akamatus,-0.690075466,-90.44578481,144.0822754
SC15-C-01-2-12,Naesiotus,akamatus,Naesiotus akamatus,-0.690075466,-90.44578481,144.0822754
SC15-C-01-2-13,Naesiotus,akamatus,Naesiotus akamatus,-0.690075466,-90.44578481,144.0822754
SC15-C-01-2-14,Naesiotus,akamatus,Naesiotus akamatus,-0.690075466,-90.44578481,144.0822754
SC15-C-01-2-15,Naesiotus,akamatus,Naesiotus akamatus,-0.690075466,-90.44578481,144.0822754
SC15-C-01-2-16,Naesiotus,akamatus,Naesiotus akamatus,-0.690075466,-90.44578481,144.0822754
SC15-C-01-2-17,Naesiotus,akamatus,Naesiotus akamatus,-0.690075466,-90.44578481,144.0822754
SC15-C-01-2-18,Naesiotus,akamatus,Naesiotus akamatus,-0.690075466,-90.44578481,144.0822754
SC15-c-01-3-1,Naesiotus,hirsutus,Naesiotus hirsutus,-0.690075466,-90.44578481,144.0822754
SC15-c-01-3-2,Naesiotus,hirsutus,Naesiotus hirsutus,-0.690075466,-90.44578481,144.0822754
SC15-c-01-3-3,Naesiotus,hirsutus,Naesiotus hirsutus,-0.690075466,-90.44578481,144.0822754
SC15-c-01-3-4,Naesiotus,hirsutus,Naesiotus hirsutus,-0.690075466,-90.44578481,144.0822754
SC15-c-01-3-5,Naesiotus,hirsutus,Naesiotus hirsutus,-0.690075466,-90.44578481,144.0822754
SC15-c-01-3-6,Naesiotus,hirsutus,Naesiotus hirsutus,-0.690075466,-90.44578481,144.0822754
SC15-c-01-3-7,Naesiotus,hirsutus,Naesiotus hirsutus,-0.690075466,-90.44578481,144.0822754
SC15-c-01-3-8,Naesiotus,hirsutus,Naesiotus hirsutus,-0.690075466,-90.44578481,144.0822754
SC15-c-01-3-9,Naesiotus,hirsutus,Naesiotus hirsutus,-0.690075466,-90.44578481,144.0822754
SC15-c-01-1-1,Naesiotus,wolfi,Naesiotus wolfi,-0.690075466,-90.44578481,144.0822754
SC15-c-01-1-2,Naesiotus,wolfi,Naesiotus wolfi,-0.690075466,-90.44578481,144.0822754
SC15-c-01-1-3,Naesiotus,wolfi,Naesiotus wolfi,-0.690075466,-90.44578481,144.0822754
SC15-c-01-1-4,Naesiotus,wolfi,Naesiotus wolfi,-0.690075466,-90.44578481,144.0822754
SC15-c-01-1-5,Naesiotus,wolfi,Naesiotus wolfi,-0.690075466,-90.44578481,144.0822754
SC15-c-01-1-6,Naesiotus,wolfi,Naesiotus wolfi,-0.690075466,-90.44578481,144.0822754
SC15-c-01-1-7,Naesiotus,wolfi,Naesiotus wolfi,-0.690075466,-90.44578481,144.0822754
SC15-c-01-1-8,Naesiotus,wolfi,Naesiotus wolfi,-0.690075466,-90.44578481,144.0822754
SC15-c-01-1-9,Naesiotus,wolfi,Naesiotus wolfi,-0.690075466,-90.44578481,144.0822754
SC15-C-01-1-9,Naesiotus,wolfi,Naesiotus wolfi,-0.690075466,-90.44578481,144.0822754
SC15-C-01-1-10,Naesiotus,wolfi,Naesiotus wolfi,-0.690075466,-90.44578481,144.0822754
SC15-C-01-1-11,Naesiotus,wolfi,Naesiotus wolfi,-0.690075466,-90.44578481,144.0822754
SC15-C-01-1-12,Naesiotus,wolfi,Naesiotus wolfi,-0.690075466,-90.44578481,144.0822754
SC15-C-01-1-13,Naesiotus,wolfi,Naesiotus wolfi,-0.690075466,-90.44578481,144.0822754
SC15-C-01-1-14,Naesiotus,wolfi,Naesiotus wolfi,-0.690075466,-90.44578481,144.0822754
SC15-C-01-1-15,Naesiotus,wolfi,Naesiotus wolfi,-0.690075466,-90.44578481,144.0822754
SC15-C-01-1-16,Naesiotus,wolfi,Naesiotus wolfi,-0.690075466,-90.44578481,144.0822754
SC15-C-01-1-17,Naesiotus,wolfi,Naesiotus wolfi,-0.690075466,-90.44578481,144.0822754
