Species,Latitude,Longitude
Naesiotus n.sp.SC-2,-0.7213667,-90.32652
Naesiotus wolfi,-0.7213667,-90.32652
Naesiotus cavagnaroi,-0.642501796,-90.32588303
Naesiotus ochsneri,-0.642501796,-90.32588303
Naesiotus saeronius,-0.642501796,-90.32588303
Naesiotus eos,-0.642501796,-90.32588303
Naesiotus adelphus,-0.746475,-90.319706
Naesiotus n.sp.SC-1,-0.746475,-90.319706
Naesiotus wolfi,-0.746475,-90.319706
Naesiotus reibischii,-0.746475,-90.319706
Naesiotus ochsneri,-0.710277,-90.319088
Naesiotus wolfi,-0.710277,-90.319088
Naesiotus wolfi,-0.7326333,-90.3127333
Naesiotus reibischii,-0.7326333,-90.3127333
Naesiotus n.sp.SC-2,-0.741929,-90.308661
Naesiotus wolfi,-0.741929,-90.308661
Naesiotus reibischii,-0.7378,-90.301397
Naesiotus adelphus,-0.7378,-90.301397
Naesiotus ochsneri,-0.637391517,-90.29662759
Naesiotus saeronius,-0.637391517,-90.29662759
Naesiotus saeronius,-0.6379167,-90.2961
Naesiotus cavagnaroi,-0.6379167,-90.2961
Naesiotus ochsneri,-0.6669667,-90.2702
Naesiotus saeronius,-0.6669667,-90.2702
Naesiotus alethorhytidus,-0.6669667,-90.2702
Naesiotus ochsneri,-0.6681167,-90.26825
Naesiotus lycodus,-0.6681167,-90.26825
Naesiotus alethorhytidus,-0.6681167,-90.26825
Naesiotus akamatus,-0.6639,-90.26247
Naesiotus n.sp. Yannickus,-0.6639,-90.26247
Naesiotus lycodus,-0.6639,-90.26247
Naesiotus n.sp.SC-2,-0.65875,-90.2587667
Naesiotus ochsneri,-0.65875,-90.2587667
Naesiotus n.sp.SC-2,-0.65735,-90.2583
Naesiotus cf. ochsneri,-0.65735,-90.2583
Naesiotus n.sp.SC-3,-0.656009316,-90.25757303
Naesiotus n.sp.SC-3,-0.656009316,-90.25757303
Naesiotus n.sp.SC-3,-0.656009316,-90.25757303
Naesiotus n.sp.SC-3,-0.656009316,-90.25757303
Naesiotus n.sp.SC-3,-0.656009316,-90.25757303
Naesiotus n.sp.SC-3,-0.656009316,-90.25757303
Naesiotus n.sp.SC-3,-0.656009316,-90.25757303
Naesiotus n.sp.SC-3,-0.656009316,-90.25757303
Naesiotus n.sp.SC-3,-0.656009316,-90.25757303
Naesiotus n.sp.SC-3,-0.656009316,-90.25757303
Naesiotus n.sp.SC-3,-0.656009316,-90.25757303
Naesiotus n.sp.SC-3,-0.656009316,-90.25757303
Naesiotus n.sp.SC-3,-0.656009316,-90.25757303
Naesiotus n.sp.SC-3,-0.656009316,-90.25757303
Naesiotus n.sp.SC-3,-0.656009316,-90.25757303
Naesiotus n.sp.SC-3,-0.656009316,-90.25757303
Naesiotus n.sp.SC-3,-0.656009316,-90.25757303
Naesiotus n.sp.SC-3,-0.656009316,-90.25757303
Naesiotus n.sp.SC-3,-0.656009316,-90.25757303
Naesiotus n.sp.SC-3,-0.656009316,-90.25757303
Naesiotus n.sp.SC-3,-0.656009316,-90.25757303
Naesiotus n.sp.SC-3,-0.656009316,-90.25757303
Naesiotus n.sp.SC-2,-0.6560167,-90.2575667
Naesiotus cf. ochsneri,-0.6560167,-90.2575667
Naesiotus cf. ochsneri,-0.660190461,-90.25714363
Naesiotus reibischii,-0.660190461,-90.25714363
Naesiotus akamatus,-0.660949862,-90.25514798
Naesiotus reibischii,-0.660949862,-90.25514798
Naesiotus hirsutus,-0.6602167,-90.25455
Naesiotus n.sp.SC-2,-0.6531,-90.25455
Naesiotus n.sp.SC-2,-0.653096437,-90.25454197
Naesiotus n.sp.SC-2,-0.653096437,-90.25454197
Naesiotus n.sp.SC-2,-0.653096437,-90.25454197
Naesiotus n.sp.SC-2,-0.653096437,-90.25454197
Naesiotus n.sp.SC-2,-0.653096437,-90.25454197
Naesiotus n.sp.SC-2,-0.653096437,-90.25454197
Naesiotus n.sp.SC-2,-0.653096437,-90.25454197
Naesiotus n.sp.SC-2,-0.653096437,-90.25454197
Naesiotus n.sp.SC-2,-0.653096437,-90.25454197
Naesiotus n.sp.SC-2,-0.653096437,-90.25454197
Naesiotus n.sp.SC-2,-0.653096437,-90.25454197
Naesiotus n.sp.SC-2,-0.653096437,-90.25454197
Naesiotus n.sp.SC-2,-0.653096437,-90.25454197
Naesiotus n.sp.SC-2,-0.653096437,-90.25454197
Naesiotus n.sp.SC-2,-0.653096437,-90.25454197
Naesiotus n.sp.SC-2,-0.653096437,-90.25454197
Naesiotus n.sp.SC-2,-0.653096437,-90.25454197
Naesiotus n.sp.SC-2,-0.653096437,-90.25454197
Naesiotus n.sp.SC-2,-0.653096437,-90.25454197
Naesiotus n.sp.SC-2,-0.653096437,-90.25454197
Naesiotus n.sp.SC-2,-0.653096437,-90.25454197
Naesiotus n.sp.SC-2,-0.653096437,-90.25454197
Naesiotus reibischii,-0.657951236,-90.25266401
Naesiotus ochsneri,-0.657951236,-90.25266401
Naesiotus cf. ochsneri,-0.65834,-90.251601
Naesiotus n.sp.SC-1,-0.67027778,-90.25111111
Naesiotus akamatus,-0.6473,-90.25055
Naesiotus hirsutus,-0.6473,-90.25055
Naesiotus akamatus,-0.6456167,-90.2496667
Naesiotus n.sp.SC-2,-0.6456167,-90.2496667
Naesiotus n.sp. Yannickus,-0.6452333,-90.24925
Naesiotus ochsneri,-0.6704,-90.24893
Naesiotus hirsutus,-0.6704,-90.24893
Naesiotus reibischii,-0.6704,-90.24893
Naesiotus reibischii,-0.6716667,-90.2487
Naesiotus reibischii,-0.6716667,-90.2487
Naesiotus reibischii,-0.6716667,-90.2487
Naesiotus reibischii,-0.6716667,-90.2487
Naesiotus reibischii,-0.6716667,-90.2487
Naesiotus reibischii,-0.6716667,-90.2487
