Species,Latitude,Longitude
S02,-0.65271724,-90.24442904
S09,-0.65271724,-90.24442904
S03,-0.65271724,-90.24442904
S02,-0.6603333,-90.2440833
S09,-0.656514913,-90.24396401
S02,-0.657420326,-90.24343603
S09,-0.657420326,-90.24343603
S03,-0.658332696,-90.24328499
S03,-0.658332696,-90.24328499
S03,-0.658332696,-90.24328499
S03,-0.658332696,-90.24328499
S03,-0.658332696,-90.24328499
S03,-0.658332696,-90.24328499
S03,-0.658332696,-90.24328499
S03,-0.658332696,-90.24328499
S03,-0.658332696,-90.24328499
S03,-0.658332696,-90.24328499
S03,-0.658332696,-90.24328499
S03,-0.658332696,-90.24328499
S03,-0.658332696,-90.24328499
S03,-0.658332696,-90.24328499
S03,-0.658332696,-90.24328499
S03,-0.658332696,-90.24328499
S03,-0.658332696,-90.24328499
S03,-0.658332696,-90.24328499
S03,-0.658332696,-90.24328499
S03,-0.658332696,-90.24328499
S03,-0.658332696,-90.24328499
S03,-0.658332696,-90.24328499
S03,-0.658332696,-90.24328499
S06,-0.67333333,-90.24277778
S14,-0.6732333,-90.2427
S01,-0.6732333,-90.2427
S01,-0.6732333,-90.2427
S01,-0.6732333,-90.2427
S01,-0.6732333,-90.2427
S01,-0.6732333,-90.2427
S01,-0.6732333,-90.2427
S12,-0.6593333,-90.2426833
S02,-0.6593333,-90.2426833
S09,-0.6593333,-90.2426833
S01,-0.672054626,-90.24262802
S02,-0.660165818,-90.24231797
S09,-0.660165818,-90.24231797
S09,-0.660165818,-90.24231797
S09,-0.660165818,-90.24231797
S09,-0.660165818,-90.24231797
S09,-0.660165818,-90.24231797
S09,-0.660165818,-90.24231797
S09,-0.660165818,-90.24231797
S09,-0.660165818,-90.24231797
S09,-0.660165818,-90.24231797
S02,-0.6732,-90.242
S02,-0.6732,-90.242
S02,-0.6732,-90.242
S02,-0.6732,-90.242
S02,-0.6732,-90.242
S02,-0.6732,-90.242
S02,-0.6732,-90.242
S02,-0.6732,-90.242
S02,-0.6732,-90.242
S02,-0.6732,-90.242
S02,-0.6732,-90.242
S02,-0.6732,-90.242
S02,-0.6732,-90.242
S02,-0.6732,-90.242
S02,-0.660981461,-90.24198202
S09,-0.660981461,-90.24198202
S09,-0.660981461,-90.24198202
S09,-0.660981461,-90.24198202
S09,-0.660981461,-90.24198202
S09,-0.660981461,-90.24198202
S09,-0.660981461,-90.24198202
S09,-0.660981461,-90.24198202
S09,-0.660981461,-90.24198202
S02,-0.673148632,-90.241935
S06,-0.673148632,-90.241935
S06,-0.668009939,-90.24137903
S02,-0.668009939,-90.24137903
S09,-0.661710603,-90.24137702
S09,-0.663424116,-90.24132103
S06,-0.66489229,-90.24110503
S01,-0.66643456,-90.24095901
S14,-0.67225,-90.24033
S17,-0.67225,-90.24033
S01,-0.67225,-90.24033
S01,-0.67225,-90.24033
S01,-0.67225,-90.24033
S01,-0.67225,-90.24033
S01,-0.67225,-90.24033
S01,-0.67225,-90.24033
S01,-0.67225,-90.24033
S12,-0.6591,-90.2398333
S02,-0.6591,-90.2398333
S03,-0.67320236,-90.23878098
S06,-0.67320236,-90.23878098
S03,-0.6597333,-90.2384167
S01,-0.675,-90.2375
S13,-0.675,-90.2375
S03,-0.675535882,-90.23698398
S06,-0.675535882,-90.23698398
S03,-0.6595833,-90.2369667
S03,-0.659576738,-90.23696202
S03,-0.659576738,-90.23696202
S03,-0.659576738,-90.23696202
S03,-0.659576738,-90.23696202
S03,-0.659576738,-90.23696202
S03,-0.659576738,-90.23696202
S03,-0.659576738,-90.23696202
S03,-0.659576738,-90.23696202
S03,-0.659576738,-90.23696202
S03,-0.659576738,-90.23696202
S03,-0.659576738,-90.23696202
S03,-0.659576738,-90.23696202
S03,-0.659576738,-90.23696202
S03,-0.659576738,-90.23696202
S03,-0.659576738,-90.23696202
S03,-0.659576738,-90.23696202
S03,-0.659576738,-90.23696202
S03,-0.659576738,-90.23696202
S03,-0.659576738,-90.23696202
S03,-0.659576738,-90.23696202
S03,-0.659576738,-90.23696202
S03,-0.659576738,-90.23696202
S12,-0.6755667,-90.23695
S12,-0.6755667,-90.23695
S12,-0.6755667,-90.23695
S12,-0.6755667,-90.23695
S12,-0.6755667,-90.23695
S12,-0.6755667,-90.23695
S12,-0.6755667,-90.23695
S12,-0.6755667,-90.23695
S12,-0.6755667,-90.23695
S12,-0.6755667,-90.23695
S12,-0.6755667,-90.23695
S12,-0.6755667,-90.23695
S12,-0.6755667,-90.23695
S12,-0.6755667,-90.23695
S12,-0.6755667,-90.23695
