Species,Latitude,Longitude,Locality
Naesiotus hirsutus,-0.660981461,-90.24198202,SC 03 53
Naesiotus akamatus,-0.660981461,-90.24198202,SC 03 53 01
Naesiotus akamatus,-0.660949862,-90.25514798,SC T13
Naesiotus n.sp.SC-2,-0.660949862,-90.25514798,SC-T13
Naesiotus akamatus,-0.660916166,-90.25539366,SC1T201-H5
Naesiotus hirsutus,-0.6603333,-90.2440833,SC 03 13
Naesiotus hirsutus,-0.6602167,-90.25455,SC 03 05
Naesiotus cf. ochsneri,-0.660190461,-90.25714363,SC 14 08
Naesiotus n.sp.SC-2,-0.660190461,-90.25714363,SC 14 08
Naesiotus hirsutus,-0.660165818,-90.24231797,SC 03 52
Naesiotus akamatus,-0.660165818,-90.24231797,SC03 52 01
Naesiotus akamatus,-0.660129273,-90.25894004,SC GA 20
Naesiotus cf. ochsneri,-0.660129273,-90.25894004,GA 20
Naesiotus hirsutus,-0.660129273,-90.25894004,SC GA 30
Naesiotus n.sp.SC-2,-0.660129273,-90.25894004,SC GA 20
Naesiotus ochsneri,-0.660129273,-90.25894004,SCGA20
Naesiotus reibischii,-0.660129273,-90.25894004,SC GA 30
Naesiotus wolfi,-0.660129273,-90.25894004,GA20
Naesiotus reibischii,-0.6597333,-90.2384167,SC 03 17
Naesiotus reibischii,-0.6595833,-90.2369667,SC 03 18
Naesiotus akamatus,-0.659576738,-90.23696202,SC GA 18
Naesiotus reibischii,-0.659576738,-90.23696202,SC05 181-1
Naesiotus akamatus,-0.659528458,-90.24497202,SC GA 12
Naesiotus hirsutus,-0.659528458,-90.24497202,SC GA 12
Naesiotus n.sp.SC-1,-0.659528458,-90.24497202,SC GA 12
Naesiotus akamatus,-0.659431899,-90.24123302,SC GA 15
Naesiotus hirsutus,-0.659431899,-90.24123302,SC GA 15
Naesiotus reibischii,-0.659431899,-90.24123302,SC GA 15
Naesiotus akamatus,-0.6593333,-90.2426833,SC 03 14
Naesiotus hirsutus,-0.6593333,-90.2426833,SC 03 14
Naesiotus n.sp.SC-2,-0.6593333,-90.2426833,SC 03 14
Naesiotus akamatus,-0.659118835,-90.25371568,SC1T17
Naesiotus n.sp.SC-2,-0.659118835,-90.25371568,SC1T17
Naesiotus hirsutus,-0.6591,-90.2398333,SC 03 16
Naesiotus n.sp.SC-2,-0.6591,-90.2398333,SC 03 16
Naesiotus akamatus,-0.658959495,-90.23568604,SC03 19
Naesiotus cf. ochsneri,-0.65875,-90.2587667,SC 03 21
Naesiotus n.sp.SC-2,-0.65875,-90.2587667,SC 03 21
Naesiotus akamatus,-0.65868197,-90.23466798,SC 03 63
Naesiotus hirsutus,-0.65868197,-90.23466798,SC 03 63
Naesiotus reibischii,-0.65868197,-90.23466798,SC 03 63
Naesiotus n.sp.SC-2,-0.658667218,-90.2460615,SC05 121-1
Naesiotus hirsutus,-0.658661686,-90.23163297,SC 03 66
Naesiotus akamatus,-0.658539059,-90.25291077,SC1T16H4
Naesiotus cf. ochsneri,-0.658539059,-90.25291077,SCIT 16 #4 
Naesiotus eos,-0.658539059,-90.25291077,SCIT 16 #4
Naesiotus n.sp. Yannickus,-0.658539059,-90.25291077,SCIT 16 #4
Naesiotus n.sp.SC-2,-0.658539059,-90.25291077,SCIT 16 #4
Naesiotus ochsneri,-0.658539059,-90.25291077,SC1T16H4
Naesiotus akamatus,-0.658436464,-90.23364698,SC 03 64
Naesiotus hirsutus,-0.658436464,-90.23364698,SC 03 64
Naesiotus reibischii,-0.658436464,-90.23364698,SC 03 64
Naesiotus cf. ochsneri,-0.65834,-90.251601,SC 14 07
Naesiotus hirsutus,-0.65834,-90.251601,SC14-07 Rat midden
Naesiotus ochsneri,-0.65834,-90.251601,SC14-07 Rat midden
Naesiotus wolfi 4,-0.65834,-90.251601,SC14-07 Rat midden
Naesiotus akamatus,-0.658332696,-90.24328499,SC GA 44
Naesiotus hirsutus,-0.658332696,-90.24328499,SC GA 44
Naesiotus reibischii,-0.658332696,-90.24328499,SC05 441 1
Naesiotus ochsneri,-0.657951236,-90.25266401,SC T15
Naesiotus reibischii,-0.657951236,-90.25266401,SC T15 reibischii
Naesiotus hirsutus,-0.657753758,-90.23184696,SC 03 67
Naesiotus reibischii,-0.65773733,-90.25240065,SC 1T 15 8/10 shells
Naesiotus wolfi,-0.65773733,-90.25240065,SC 1T 15 8/10 shells
Naesiotus cf. ochsneri,-0.657721572,-90.24795916,SC1T10
Naesiotus n.sp.SC-2,-0.657721572,-90.24795916,SC1T10
Naesiotus akamatus,-0.657475479,-90.2465453,SC1T8
Naesiotus n.sp.SC-2,-0.657475479,-90.2465453,SC1T8
Naesiotus akamatus,-0.657467935,-90.25152658,SC1T14
Naesiotus akamatus,-0.657420326,-90.24343603,SC 03 43
Naesiotus hirsutus,-0.657420326,-90.24343603,SC 03 43
Naesiotus cf. ochsneri,-0.65735,-90.2583,SC 03 22
Naesiotus n.sp.SC-2,-0.65735,-90.2583,SC 03 22
Naesiotus cf. ochsneri,-0.657315804,-90.24874798,SC 15 near T11
Naesiotus reibischii,-0.657315804,-90.24874798,SC 15 near T11
Naesiotus wolfi 4,-0.657315804,-90.24874798,SC 15 near T11
Naesiotus akamatus,-0.657146741,-90.23092101,SC 03 68
Naesiotus hirsutus,-0.657146741,-90.23092101,SC 03 68
Naesiotus reibischii,-0.657146741,-90.23092101,SC 03 68
Naesiotus akamatus,-0.6567,-90.2463333,SC 03 35
Naesiotus hirsutus,-0.6567,-90.2463333,SC 03 35
Naesiotus n.sp.SC-2,-0.6567,-90.2463333,SC 03 35
Naesiotus akamatus,-0.656627,-90.24622,SC Garra
Naesiotus hirsutus,-0.656627,-90.24622,SC Garra
Naesiotus n.sp.SC-1,-0.656627,-90.24622,SC Garra
Naesiotus akamatus,-0.6566167,-90.24628,SC1T7
Naesiotus hirsutus,-0.6566167,-90.24628,SC1T7
Naesiotus n.sp.SC-2,-0.6566167,-90.24628,SC1T7
Naesiotus akamatus,-0.656609042,-90.24629384,SC 14 06
Naesiotus hirsutus,-0.656609042,-90.24629384,SC 14 06
Naesiotus n.sp. Yannickus,-0.656609042,-90.24629384,SC 14 06
Naesiotus akamatus,-0.656514913,-90.24396401,SC GA 42
Naesiotus hirsutus,-0.656514913,-90.24396401,SC GA 42
Naesiotus n.sp.SC-2,-0.656514913,-90.24396401,SC05 421-1
Naesiotus reibischii,-0.656514913,-90.24396401,SC GA 42
Naesiotus wolfi 4,-0.656514913,-90.24396401,SC 03 42
Naesiotus hirsutus,-0.656211739,-90.23047602,SC 03 69
Naesiotus cf. ochsneri,-0.6560167,-90.2575667,SC 03 23
Naesiotus n.sp.SC-2,-0.6560167,-90.2575667,SC 03 23
Naesiotus akamatus,-0.656009316,-90.25757303,SC GA 23
Naesiotus n.sp.SC-2,-0.656009316,-90.25757303,SC05 231-1
Naesiotus reibischii,-0.656009316,-90.25757303,SC GA 23
Naesiotus hirsutus,-0.655976962,-90.22966297,SC 03 70
Naesiotus akamatus,-0.65589373,-90.24571147,SC1T6
Naesiotus n.sp.SC-2,-0.65589373,-90.24571147,SC1T6
Naesiotus hirsutus,-0.655875122,-90.24583602,SC 03 36
Naesiotus wolfi 4,-0.655875122,-90.24583602,SC 03 36
Naesiotus akamatus,-0.655861376,-90.24576553,SC15-g-01
Naesiotus wolfi 4,-0.655813012,-90.244724,SC 03 41
Naesiotus akamatus,-0.65547212,-90.24512683,SC15-G-MR 1-1 
Naesiotus reibischii,-0.65547212,-90.24512683,SC15-G-MR-2-1
Naesiotus akamatus,-0.6554667,-90.24513,SC14 MR01
Naesiotus kublerensis,-0.6554667,-90.24513,SC15-G-MR-3-1
Naesiotus akamatus,-0.655233823,-90.24514904,SCIT5
Naesiotus n.sp.SC-2,-0.655233823,-90.24514904,SCIT5
Naesiotus akamatus,-0.654998291,-90.2453456,SC 14 01
Naesiotus hirsutus,-0.654948838,-90.24535901,SC 03 37
Naesiotus akamatus,-0.654948838,-90.24535901,SC GA 37
Naesiotus n.sp.SC-2,-0.654948838,-90.24535901,SC05 371-1
Naesiotus reibischii,-0.654948838,-90.24535901,SC GA 37
Naesiotus akamatus,-0.654368559,-90.24546546,SC1T4
Naesiotus hirsutus,-0.653987937,-90.24545196,SC 03 38
Naesiotus n.sp.SC-2,-0.653441269,-90.24526798,SC1t3 shells
Naesiotus akamatus,-0.653441269,-90.24526798,SC1T3 shells
